nome,cpf,idade,data,endereco,estado,pais,salario,nivel_educacao,numero_filhos,estado_civil,anos_experiencia,area_atuacao
Srta. Luna Oliveira,073.865.142-71,49,1974-10-19,"Recanto Noah Rezende, 24
Vila Puc
63658-091 Souza / PI",Bahia,Brasil,10181.14,Ensino Superior,1,Casado,23,Comércio
Benício da Rocha,394.625.710-07,61,1962-11-10,"Lago Daniel Campos
Havaí
56785-724 Rodrigues do Galho / SE",Alagoas,Brasil,9928.59,Ensino Médio,0,Casado,33,Indústria
Mariane da Mata,718.243.695-73,59,1965-04-05,"Aeroporto Porto, 4
Vila Bandeirantes
21106038 Rodrigues de Melo / GO",Pernambuco,Brasil,9808.35,Ensino Superior,4,Casado,35,Educação
Luiz Miguel da Mata,301.859.472-04,50,1973-09-28,"Área Oliveira, 504
Aeroporto
83431630 Dias / RN",Sergipe,Brasil,5225.2,Ensino Médio,1,Casado,16,Comércio
Ana da Conceição,581.270.349-32,22,2001-10-02,"Favela Ryan Moraes, 44
União
19402-181 Oliveira da Mata / BA",Sergipe,Brasil,3645.0,Ensino Superior,1,Casado,0,Educação
Matheus Pereira,613.450.872-17,85,1939-04-10,"Rodovia Beatriz Costa, 34
Jardim Alvorada
16398-038 Ramos / AC",Distrito Federal,Brasil,2387.19,Ensino Fundamental,0,Casado,36,Tecnologia
Camila Ramos,506.247.398-56,46,1978-02-22,"Vereda de Nunes, 21
Venda Nova
05729-057 Barros / AM",Alagoas,Brasil,7664.25,Ensino Médio,1,Casado,3,Tecnologia
Agatha Cardoso,068.352.741-07,55,1968-05-29,"Colônia Nunes, 363
Nova Pampulha
64002-271 Jesus / SE",Amazonas,Brasil,3649.5,Ensino Médio,0,Casado,11,Comércio
Pietra Rocha,457.032.896-29,55,1968-07-21,"Quadra Lima, 92
Custodinha
82512-058 da Rocha da Mata / PE",Amazonas,Brasil,4405.56,Ensino Médio,2,Casado,35,Educação
Letícia Ferreira,071.295.846-02,42,1981-07-23,"Largo Bruno Farias, 27
Santana Do Cafezal
09115624 Nunes do Galho / RO",Piauí,Brasil,4501.08,Ensino Médio,0,Casado,8,Saúde
Pedro Miguel Cunha,763.825.410-44,21,2002-07-18,"Passarela João Guilherme Costa, 26
São Bento
08177-207 Gonçalves Verde / PI",Amazonas,Brasil,2386.33,Ensino Fundamental,0,Viúvo,3,Educação
Erick Duarte,495.238.071-88,18,2005-06-04,"Sítio Martins, 791
Liberdade
28298-953 Monteiro / MT",Mato Grosso do Sul,Brasil,3485.57,Ensino Fundamental,1,Casado,0,Tecnologia
Yasmin Vieira,406.915.283-06,28,1996-01-23,"Lagoa de Santos
Conjunto Santa Maria
99655-619 Gomes da Mata / ES",Roraima,Brasil,3441.77,Ensino Médio,0,Solteiro,3,Saúde
Raquel Fogaça,148.526.370-08,83,1940-10-17,"Travessa Vitória Castro, 6
Gameleira
76844798 Nunes / AC",Goiás,Brasil,3432.61,Ensino Médio,1,Casado,2,Indústria
Felipe da Costa,476.318.209-96,65,1958-07-30,"Viaduto de Gomes, 35
Vila Sesc
88706-700 Fogaça / SE",Maranhão,Brasil,7609.68,Ensino Fundamental,3,Casado,28,Indústria
Ana Júlia da Mata,356.809.124-06,23,2000-12-04,"Favela Azevedo, 56
Vila Nova Dos Milionarios
73260137 Novaes / RO",Rondônia,Brasil,3468.81,Ensino Fundamental,1,Divorciado,0,Tecnologia
Elisa Cunha,078.214.536-17,78,1945-10-12,"Núcleo Kevin Fogaça, 61
Jardim Alvorada
35573-600 Ferreira / DF",Espírito Santo,Brasil,5986.45,Ensino Médio,1,Solteiro,35,Comércio
Esther da Mata,541.398.027-23,22,2001-09-25,"Núcleo Luiz Gustavo Novaes, 549
Cidade Jardim
20170-619 da Cruz / AP",Rio Grande do Sul,Brasil,5093.49,Ensino Médio,2,Solteiro,2,Indústria
Alexia Jesus,945.027.386-38,39,1984-06-03,"Praia Arthur Ribeiro, 6
Monte Azul
76998863 Almeida / RO",Paraná,Brasil,3446.2,Ensino Médio,0,Casado,15,Indústria
Maria Fernanda Castro,465.130.892-98,54,1969-06-18,"Viaduto de da Rocha
Belvedere
75072641 Costela / SP",Pará,Brasil,8094.16,Ensino Médio,4,Solteiro,8,Tecnologia
Henrique Rodrigues,215.903.478-97,28,1995-07-11,"Feira de Freitas, 82
Cônego Pinheiro 1ª Seção
91538600 Silva de da Paz / RN",Amazonas,Brasil,5517.69,Ensino Médio,3,Casado,5,Indústria
Ana Lívia Porto,859.261.407-49,24,1999-12-22,"Esplanada Laís da Conceição, 733
Liberdade
53575-467 Jesus / PB",Bahia,Brasil,3057.43,Ensino Fundamental,1,Solteiro,6,Indústria
Thales das Neves,106.924.857-67,49,1974-04-26,"Rodovia da Cunha, 87
Vila Formosa
06433-760 Cardoso do Oeste / AC",Goiás,Brasil,4611.62,Ensino Médio,0,Casado,14,Comércio
Luiz Otávio Costela,637.518.420-71,30,1993-12-11,"Lagoa de Lima, 33
São Vicente
44425-416 Teixeira de Goiás / RS",Rio Grande do Sul,Brasil,6082.64,Ensino Médio,3,Solteiro,4,Indústria
Pedro Lucas Cavalcanti,130.287.569-86,47,1977-03-19,"Residencial Igor Barbosa, 9
Novo Das Industrias
57070206 Novaes de Costela / TO",Distrito Federal,Brasil,19730.97,Ensino Superior,2,Casado,28,Tecnologia
Cecília Moraes,064.387.259-00,56,1967-09-12,"Aeroporto de Porto, 37
Vila Olhos D'água
89035599 Rocha / CE",Amazonas,Brasil,4895.37,Ensino Médio,0,Casado,0,Tecnologia
João Pedro Dias,270.689.354-00,22,2002-02-18,"Alameda Rezende, 132
Havaí
54477412 Castro / CE",Amazonas,Brasil,4746.11,Ensino Médio,1,Solteiro,3,Educação
João Felipe Pereira,970.138.246-31,22,2001-08-17,"Via Maria Vitória Silva, 1
Aparecida 7ª Seção
81034789 Azevedo / AL",Espírito Santo,Brasil,9137.8,Ensino Superior,0,Solteiro,0,Indústria
Luiz Gustavo Santos,854.627.931-46,18,2005-12-28,"Condomínio de Barbosa
Vila Madre Gertrudes 4ª Seção
60083-956 Alves / MS",Pernambuco,Brasil,2788.97,Ensino Médio,1,Casado,0,Comércio
Cauê da Mata,172.395.804-23,19,2004-09-22,"Largo de Cardoso, 777
Beira Linha
69006462 das Neves / MT",São Paulo,Brasil,2936.85,Ensino Médio,3,Casado,1,Indústria
Julia Pinto,761.982.350-68,21,2003-01-07,"Recanto Isabella Caldeira, 241
Vila Madre Gertrudes 3ª Seção
19965-788 Fogaça Alegre / MG",Roraima,Brasil,2892.95,Ensino Fundamental,1,Casado,3,Educação
Sra. Isis Novaes,639.207.581-02,59,1964-10-26,"Viela de Azevedo, 65
Vila Satélite
37814578 Ribeiro / MG",Pará,Brasil,17026.17,Ensino Superior,0,Casado,39,Tecnologia
Srta. Natália da Rocha,053.978.162-21,22,2001-11-10,"Feira Ana Laura da Costa, 842
Taquaril
47166382 Rezende / MS",Goiás,Brasil,5185.59,Ensino Médio,2,Solteiro,3,Comércio
Julia Rodrigues,389.457.061-00,57,1967-04-03,"Trecho Maria Cecília Souza, 2
São Jorge 2ª Seção
79028836 Gomes / PR",Rondônia,Brasil,4204.97,Ensino Médio,3,Divorciado,21,Educação
Eduardo Aragão,654.701.298-02,53,1970-09-29,"Viaduto Freitas, 58
Copacabana
06482-168 Ferreira / SC",Bahia,Brasil,8967.94,Ensino Médio,1,Casado,13,Comércio
Enzo Gabriel da Mata,809.476.513-57,23,2001-01-25,"Recanto de Oliveira, 20
Vila Madre Gertrudes 4ª Seção
71684-218 Lima do Sul / PA",Pernambuco,Brasil,8801.98,Ensino Superior,0,Casado,3,Tecnologia
Emanuelly Mendes,231.784.605-35,88,1935-12-04,"Travessa de Pires, 834
Vila Nossa Senhora Do Rosário
63145269 Cardoso do Amparo / PA",Amazonas,Brasil,2813.73,Ensino Fundamental,2,Solteiro,27,Saúde
Luna da Mota,947.503.681-48,25,1998-08-10,"Quadra Barbosa, 87
Buraco Quente
58384045 Moura / MG",Distrito Federal,Brasil,4038.33,Ensino Médio,1,Casado,1,Comércio
Olivia Moraes,056.839.241-89,88,1936-03-17,"Conjunto de Costa, 948
Maravilha
13250-179 Carvalho Grande / AP",Goiás,Brasil,4843.84,Ensino Superior,0,Solteiro,12,Tecnologia
Ana Julia da Costa,480.617.592-76,18,2006-02-14,"Praia Gomes, 851
Mangueiras
72370779 das Neves / SP",Acre,Brasil,7335.02,Ensino Médio,0,Casado,0,Tecnologia
Stella da Rosa,826.910.574-02,24,1999-07-24,"Loteamento Maria Luiza Gomes, 70
Madre Gertrudes
19010517 Caldeira / PA",Maranhão,Brasil,5096.93,Ensino Médio,0,Solteiro,0,Educação
Maria Cecília Nogueira,495.823.710-05,65,1958-06-03,"Estação Nogueira, 40
Boa Vista
84460-945 Dias Alegre / RR",Paraíba,Brasil,13917.07,Ensino Médio,0,Viúvo,32,Indústria
Camila Cunha,170.659.483-66,18,2006-03-24,"Viela Silveira
Lajedo
72423-966 Porto / RO",Distrito Federal,Brasil,6734.71,Pós-graduação,2,Casado,0,Educação
Isabel Cardoso,568.314.907-00,19,2005-01-12,"Viela Eloah Moura, 60
Bonfim
99971159 Moura do Sul / SP",Sergipe,Brasil,8549.4,Pós-graduação,4,Casado,0,Indústria
Mariane Fernandes,826.973.045-92,85,1939-01-04,"Residencial Pires, 27
Marmiteiros
84975963 Almeida / PI",Santa Catarina,Brasil,13081.43,Ensino Médio,2,Casado,49,Indústria
Catarina Santos,026.459.137-25,59,1964-11-07,"Jardim Ramos, 9
Nova Cintra
82742993 Farias de Dias / MG",São Paulo,Brasil,12474.65,Ensino Superior,0,Casado,16,Educação
Laís Aragão,084.716.925-11,34,1989-07-01,"Morro de Mendes, 715
Apolonia
24203-413 Araújo / BA",Piauí,Brasil,7565.66,Pós-graduação,2,Solteiro,1,Tecnologia
Dr. Fernando Peixoto,659.823.140-05,37,1986-09-23,"Setor de Carvalho, 20
Granja Werneck
23424686 Cardoso / RN",Goiás,Brasil,10279.89,Ensino Médio,0,Casado,10,Tecnologia
Ana Júlia Cardoso,182.643.579-46,33,1990-12-01,"Distrito Emilly Melo, 91
Graça
11166505 Novaes / CE",Sergipe,Brasil,10491.23,Ensino Superior,0,Casado,9,Tecnologia
Vinicius Costa,289.615.734-46,61,1962-12-11,"Travessa Araújo, 51
Nova Esperança
03884065 Campos do Campo / RJ",Minas Gerais,Brasil,4189.37,Ensino Médio,0,Solteiro,7,Educação
Breno Alves,208.317.956-03,30,1994-03-05,"Estrada de Novaes
Acaba Mundo
88025764 Farias Verde / AC",Amazonas,Brasil,4253.02,Ensino Superior,0,Casado,6,Comércio
Mariane das Neves,079.184.653-93,19,2005-03-13,"Morro Enzo Gabriel Gonçalves
Marieta 1ª Seção
05678-927 Barbosa do Oeste / PA",São Paulo,Brasil,3472.01,Ensino Médio,4,Casado,0,Saúde
Valentina Oliveira,827.501.963-02,27,1996-07-26,"Feira de Campos, 44
Sion
38651328 Peixoto / AC",São Paulo,Brasil,5043.59,Ensino Médio,5,Solteiro,5,Tecnologia
Breno Moraes,032.495.178-79,53,1971-02-14,"Vila Eduarda Carvalho, 444
Vila Petropolis
21732848 Melo de Ramos / PA",Pernambuco,Brasil,16878.91,Pós-graduação,2,Casado,14,Educação
Dr. Lucas Gabriel Carvalho,638.425.179-55,45,1978-12-24,"Favela de Carvalho, 45
São Francisco
69956507 Mendes / ES",Roraima,Brasil,9106.5,Ensino Médio,0,Solteiro,21,Saúde
Maria Ferreira,524.638.710-08,40,1983-12-17,"Favela de Martins, 433
Beija Flor
85455559 das Neves / PE",Distrito Federal,Brasil,6051.48,Ensino Fundamental,3,Solteiro,22,Tecnologia
Gabriel Viana,740.163.829-04,43,1981-04-06,"Lago Calebe Freitas
Santa Inês
56225-290 Cardoso / ES",Rondônia,Brasil,6732.19,Ensino Médio,0,Casado,12,Comércio
Elisa Mendes,472.169.305-25,27,1996-10-17,"Morro Juliana Porto, 20
Nova Cachoeirinha
80855004 Farias / CE",Minas Gerais,Brasil,2975.55,Ensino Médio,0,Divorciado,3,Indústria
Dra. Laura Fernandes,723.516.089-68,45,1978-08-02,"Via Oliveira, 508
Santa Cruz
91678-973 da Rosa dos Dourados / RS",Paraíba,Brasil,11210.57,Ensino Superior,1,Solteiro,25,Comércio
Isabelly Novaes,925.104.768-58,22,2001-12-10,"Vereda Araújo, 33
Embaúbas
15168-391 Azevedo / MA",Mato Grosso,Brasil,4559.16,Ensino Superior,0,Casado,2,Educação
Lorenzo da Luz,147.269.305-16,39,1984-05-22,"Via Freitas
Vila São Paulo
87173-593 Costela / PB",Amapá,Brasil,4054.92,Ensino Fundamental,0,Solteiro,5,Comércio
Maria Julia Moura,859.172.306-68,55,1969-01-28,"Campo Emilly Melo, 10
Olaria
69886-683 Jesus Verde / PA",Tocantins,Brasil,12509.8,Pós-graduação,1,Casado,19,Saúde
João Lucas Jesus,143.759.802-14,59,1964-08-12,"Via Peixoto
Penha
80521-244 Carvalho / RJ",Acre,Brasil,3654.98,Ensino Fundamental,1,Divorciado,12,Comércio
Olivia Aragão,763.195.280-95,49,1975-01-10,"Conjunto de Martins, 80
Custodinha
43429-714 Silva do Sul / PR",Rio de Janeiro,Brasil,8611.1,Ensino Superior,0,Casado,13,Saúde
Maysa Pires,032.458.796-10,63,1960-11-07,"Fazenda Pereira, 22
Nossa Senhora Do Rosário
23732278 Gomes Verde / SP",Rio Grande do Sul,Brasil,6666.87,Ensino Médio,2,Casado,43,Comércio
Maria Clara Ferreira,536.870.941-20,19,2005-02-04,"Área Jesus
Marajó
19758074 Costa de da Rocha / PE",Pernambuco,Brasil,1593.65,Ensino Fundamental,1,Solteiro,0,Educação
Srta. Maria Alice Pereira,530.879.124-41,20,2003-10-12,"Loteamento de da Rocha, 24
São Francisco
74588541 Peixoto / RO",Rio Grande do Sul,Brasil,5069.23,Ensino Médio,0,Solteiro,1,Saúde
Sra. Olivia Pires,638.510.724-80,56,1967-10-25,"Aeroporto Ribeiro, 8
Virgínia
84651-537 Nogueira / PR",Pernambuco,Brasil,11820.72,Ensino Superior,1,Divorciado,24,Saúde
Igor da Costa,309.824.651-06,53,1971-02-25,"Passarela de Moura, 41
Nova Esperança
69314-625 Oliveira / ES",Pernambuco,Brasil,14303.7,Ensino Superior,2,Viúvo,6,Tecnologia
Sra. Lorena da Rocha,968.245.170-11,61,1963-04-05,"Estrada de Pereira, 41
Concórdia
45770-486 Santos Alegre / BA",Rondônia,Brasil,4946.28,Ensino Médio,0,Solteiro,8,Comércio
Brenda Monteiro,365.174.908-84,54,1969-09-30,"Colônia Lucca Campos, 67
Boa Esperança
42778-114 Duarte das Flores / TO",Roraima,Brasil,5003.55,Ensino Médio,1,Divorciado,28,Educação
Lívia Moreira,054.376.128-26,43,1980-10-04,"Vereda Almeida, 8
Cdi Jatoba
20676309 Carvalho / MA",Rondônia,Brasil,5648.23,Ensino Médio,3,Casado,5,Saúde
Luiz Henrique Castro,024.785.139-60,18,2006-01-05,"Núcleo Ramos, 28
Vila Da Ária
36026-797 Silva / RJ",Espírito Santo,Brasil,6662.12,Ensino Superior,0,Solteiro,0,Educação
Anthony Ribeiro,507.318.269-30,52,1971-06-22,"Chácara Pinto, 1
Centro
42640258 Pires / SP",Mato Grosso do Sul,Brasil,7833.93,Ensino Médio,1,Casado,28,Indústria
Calebe Duarte,741.265.809-30,79,1944-09-24,"Residencial Emanuelly Cavalcanti, 34
Barro Preto
07085-949 Peixoto / PB",Santa Catarina,Brasil,2999.89,Ensino Fundamental,0,Casado,28,Indústria
Ana Julia Jesus,795.241.036-99,42,1981-05-14,"Praça Silveira, 443
São Benedito
94163-679 Vieira / AM",Bahia,Brasil,7863.54,Ensino Superior,4,Casado,0,Tecnologia
Julia Porto,780.194.263-96,31,1992-11-29,"Loteamento de Barbosa
Juliana
00195-795 Almeida do Norte / PI",Espírito Santo,Brasil,2540.53,Ensino Fundamental,0,Divorciado,11,Indústria
Thomas Melo,847.236.501-80,33,1991-03-28,"Núcleo Eduardo Ferreira, 54
Vila Nova Gameleira 3ª Seção
46094494 Santos de Ribeiro / DF",Maranhão,Brasil,6179.44,Ensino Médio,1,Casado,12,Saúde
Nina Rezende,415.629.380-70,64,1959-08-09,"Avenida Vieira, 60
Cidade Jardim Taquaril
71484-748 Porto de Melo / ES",Mato Grosso,Brasil,7677.11,Ensino Fundamental,0,Solteiro,34,Indústria
Emilly da Costa,164.830.759-01,22,2002-01-11,"Residencial de Lopes, 93
Lorena
28409-020 da Rocha / RS",Bahia,Brasil,5261.29,Ensino Médio,2,Casado,2,Educação
Pedro Cardoso,643.751.289-09,63,1961-02-12,"Estrada Fernandes, 67
Conjunto Providencia
56170069 Dias da Serra / RJ",Goiás,Brasil,4388.63,Ensino Fundamental,0,Solteiro,12,Tecnologia
Sr. Lucas Gabriel Teixeira,967.538.210-40,25,1998-09-24,"Setor Rezende, 90
Pirineus
95314-409 da Conceição / PR",Rio Grande do Sul,Brasil,7653.98,Ensino Médio,1,Casado,5,Saúde
Lucas Pinto,296.703.518-12,54,1969-06-29,"Travessa da Paz, 5
Horto Florestal
30808318 Ribeiro / PB",Acre,Brasil,3615.51,Ensino Médio,0,Solteiro,1,Tecnologia
Emanuella Moreira,720.619.583-03,27,1996-05-04,"Jardim Castro, 24
Havaí
68750233 Castro / SC",Rio Grande do Norte,Brasil,6736.01,Ensino Médio,3,Casado,2,Indústria
Valentina Santos,304.918.762-03,48,1975-12-09,"Rua de Vieira, 53
Aarão Reis
85654-665 Caldeira / MA",Ceará,Brasil,8778.35,Ensino Médio,0,Casado,20,Comércio
Igor Campos,310.845.679-20,29,1994-09-23,"Chácara de Rezende
Flamengo
47627951 Fogaça / AL",Bahia,Brasil,5750.17,Ensino Superior,0,Solteiro,9,Comércio
Srta. Isabella Porto,401.786.235-71,77,1946-05-13,"Vereda João Miguel Cardoso, 332
São Geraldo
87252-650 Moreira Verde / AM",Tocantins,Brasil,12245.98,Ensino Médio,0,Solteiro,55,Saúde
Bryan Sales,276.190.584-94,47,1976-06-15,"Vale Gabriela Azevedo, 71
Leonina
19193439 da Mata / AP",Rondônia,Brasil,7152.08,Ensino Médio,1,Casado,7,Indústria
Luiz Gustavo da Cunha,753.961.824-82,47,1977-02-26,"Chácara Souza, 74
Jaqueline
22929-835 Gonçalves de Nascimento / PE",Rio Grande do Norte,Brasil,5305.75,Ensino Superior,1,Casado,14,Indústria
Sr. Bryan Castro,701.695.328-95,43,1980-06-10,"Viela Calebe da Rosa, 90
Vila São Geraldo
95229-719 Souza / MG",Distrito Federal,Brasil,4721.31,Ensino Médio,1,Casado,16,Educação
Leonardo Azevedo,635.921.784-82,31,1993-02-07,"Residencial de Carvalho, 79
Vera Cruz
71516-888 Moraes / PR",Acre,Brasil,6056.4,Ensino Médio,0,Casado,12,Comércio
Emanuel Carvalho,456.823.701-71,18,2005-07-26,"Conjunto Silva, 25
Sagrada Família
33578420 Alves do Oeste / DF",Amazonas,Brasil,2386.9,Ensino Fundamental,1,Casado,0,Educação
Felipe Monteiro,732.498.516-55,20,2003-11-09,"Condomínio Maria Alice Freitas, 1
Vila Petropolis
99296481 Rocha / SP",Santa Catarina,Brasil,1700.15,Ensino Fundamental,2,Casado,1,Comércio
André Oliveira,183.740.956-01,36,1987-09-27,"Lago Cardoso
Venda Nova
53865-561 Campos do Sul / MS",Paraná,Brasil,3861.92,Ensino Fundamental,0,Casado,1,Comércio
Helena Costela,038.219.654-60,47,1976-10-24,"Condomínio de Silveira, 81
Vila São Geraldo
93045899 Pinto / RO",Amazonas,Brasil,6081.45,Ensino Médio,0,Casado,15,Saúde
Maria Luiza Costela,045.738.629-00,30,1993-09-26,"Estação Lucas Gabriel Costa
Vila Madre Gertrudes 3ª Seção
45784-262 da Conceição da Praia / RR",Amapá,Brasil,5101.38,Ensino Superior,0,Casado,8,Saúde
Alexandre Vieira,471.935.068-20,29,1994-12-18,"Pátio Lucas Gabriel da Rosa, 41
Anchieta
52303-098 Cavalcanti de Goiás / AL",Ceará,Brasil,2443.38,Ensino Médio,0,Casado,0,Comércio
Srta. Rebeca da Rocha,835.429.671-73,48,1976-03-23,"Favela Isadora da Luz, 5
Anchieta
62114-525 Novaes / SE",Sergipe,Brasil,10761.24,Ensino Superior,1,Casado,12,Comércio
Bárbara das Neves,763.412.085-53,46,1978-01-02,"Praia Melo, 72
Fernão Dias
02283596 da Costa / CE",Pernambuco,Brasil,10789.48,Ensino Médio,1,Casado,21,Saúde
Dr. Renan das Neves,980.475.216-67,44,1979-12-29,"Colônia Renan Melo, 83
Vila Rica
56965-878 Gonçalves de Araújo / BA",Rondônia,Brasil,6303.77,Ensino Médio,2,Casado,3,Indústria
Gustavo Henrique Gomes,590.164.283-05,56,1967-05-13,"Viela de da Cunha
São Salvador
86083815 Moreira de Caldeira / AL",Amazonas,Brasil,13937.67,Ensino Médio,0,Casado,30,Tecnologia
Laís da Mota,913.874.260-87,34,1989-05-01,"Residencial Nicolas Fogaça, 30
Vila Maria
62618541 Pinto / PA",Tocantins,Brasil,11127.47,Ensino Superior,2,Casado,6,Saúde
Dra. Emanuella Nogueira,845.037.692-00,46,1977-12-24,"Núcleo Sophie Alves, 79
Gameleira
86282975 Pereira do Galho / RS",Distrito Federal,Brasil,12216.39,Ensino Superior,3,Casado,22,Saúde
Manuela Cavalcanti,362.045.189-33,35,1988-04-25,"Estação Olivia Barros, 37
Tupi B
08480-199 Ferreira do Campo / RO",Tocantins,Brasil,8219.17,Ensino Médio,0,Casado,9,Saúde
João Gomes,237.015.698-86,60,1964-02-02,"Favela Correia, 55
Diamante
27813615 Porto Verde / AP",Minas Gerais,Brasil,4739.76,Ensino Fundamental,1,Casado,36,Indústria
Lorenzo Azevedo,204.631.875-71,36,1987-09-05,"Distrito de Costa, 54
Jardim Vitoria
23985-226 Correia / RS",Mato Grosso do Sul,Brasil,7769.92,Ensino Médio,2,Casado,11,Saúde
Henrique Castro,819.427.653-55,34,1990-01-12,"Alameda de Dias, 34
Jonas Veiga
64085-288 Barros / SC",Acre,Brasil,14499.59,Ensino Superior,0,Solteiro,16,Saúde
Ana Mendes,139.628.540-70,21,2003-04-03,"Campo de Silva
Nova Granada
95507206 Campos / ES",Roraima,Brasil,2913.21,Ensino Fundamental,2,Casado,2,Tecnologia
Enzo Gabriel Peixoto,905.873.461-75,64,1960-03-12,"Lagoa Ana Sophia Costa, 22
Vila Coqueiral
06663225 Aragão de Goiás / MG",Rio de Janeiro,Brasil,4401.9,Ensino Superior,0,Casado,0,Comércio
Sr. Cauê da Luz,983.265.107-77,23,2000-11-24,"Passarela Cauã Novaes, 78
Anchieta
17244785 da Mata / ES",Piauí,Brasil,5183.17,Ensino Médio,0,Casado,5,Indústria
Gabriel Cardoso,064.158.392-33,58,1965-04-18,"Núcleo de Novaes, 2
Santo André
26558-205 da Mota / TO",Pernambuco,Brasil,20538.3,Ensino Superior,0,Casado,29,Saúde
Julia da Mata,842.073.615-53,24,2000-02-17,"Chácara Vieira, 157
Acaba Mundo
09376801 Rodrigues / AC",Rondônia,Brasil,4650.45,Ensino Superior,1,Casado,4,Educação
Dr. Pedro Lucas Pinto,750.426.839-92,30,1993-05-19,"Esplanada de Fogaça, 21
Calafate
59521-998 Almeida Verde / AL",Alagoas,Brasil,3963.92,Ensino Fundamental,0,Casado,3,Comércio
